Cycle,Config 1,Config 2,Config 3
1,5.93472895664948e-06,1.17230630199564e-06,2.90048732715255e-07
1001,0.00594066368560606,0.00117347860829764,0.000290338781447966
2001,0.0118753926422554,0.00234578491029336,0.000580387514163216
3001,0.0178101215989054,0.00351809121228909,0.000870436246878466
4001,0.0237448505555565,0.00469039751428481,0.00116048497959378
5001,0.0296795795122076,0.00586270381628054,0.00145053371230914
6001,0.0356143084688587,0.00703501011827626,0.0017405824450245
7001,0.0415490374255098,0.00820731642027169,0.00203063117773986
8001,0.0474837663821609,0.00937962272226655,0.00232067991045522
9001,0.053418495338812,0.0105519290242614,0.00261072864317058
10001,0.0593532242954631,0.0117242353262563,0.00290077737588593
11001,0.0652879532521109,0.0128965416282511,0.00319082610860129
12001,0.071222682208755,0.014068847930246,0.00348087484131665
13001,0.0771574111653992,0.0152411542322408,0.00377092357403201
14001,0.0830921401220433,0.0164134605342357,0.00406097230674714
15001,0.0890268690786875,0.0175857668362306,0.00435102103946206
16001,0.0949615980353316,0.0187580731382254,0.00464106977217698
17001,0.100896326991976,0.0199303794402203,0.00493111850489191
18001,0.10683105594862,0.0211026857422151,0.00522116723760683
19001,0.112765784905264,0.02227499204421,0.00551121597032176
20001,0.118700513861908,0.0234472983462048,0.00580126470303668
21001,0.124635242818552,0.0246196046481997,0.00609131343575161
22001,0.13056997177521,0.0257919109501946,0.00638136216846653
23001,0.136504700731868,0.0269642172521894,0.00667141090118146
24001,0.142439429688526,0.0281365235541843,0.00696145963389638
25001,0.148374158645184,0.0293088298561791,0.0072515083666113
26001,0.154308887601842,0.030481136158174,0.00754155709932623
27001,0.1602436165585,0.03165344246017,0.00783160583204121
28001,0.166178345515158,0.0328257487621684,0.008121654564757
29001,0.172113074471816,0.0339980550641667,0.00841170329747279
30001,0.178047803428474,0.035170361366165,0.00870175203018859
31001,0.183982532385132,0.0363426676681634,0.00899180076290438
32001,0.18991726134179,0.0375149739701617,0.00928184949562017
33001,0.195851990298448,0.03868728027216,0.00957189822833596
34001,0.201786719255106,0.0398595865741583,0.00986194696105175
35001,0.207721448211764,0.0410318928761567,0.0101519956937675
36001,0.213656177168422,0.042204199178155,0.0104420444264833
37001,0.21959090612508,0.0433765054801533,0.0107320931591991
38001,0.225525635081738,0.0445488117821516,0.0110221418919149
39001,0.231460364038396,0.04572111808415,0.0113121906246307
40001,0.237395092995054,0.0468934243861483,0.0116022393573465
41001,0.243329821951712,0.0480657306881466,0.0118922880900623
42001,0.24926455090837,0.049238036990145,0.0121823368227781
43001,0.255199279865028,0.0504103432921433,0.0124723855554939
44001,0.261134008821686,0.0515826495941416,0.0127624342882097
45001,0.267068737778344,0.0527549558961399,0.0130524830209255
46001,0.273003466735002,0.0539272621981383,0.0133425317536413
47001,0.27893819569166,0.0550995685001366,0.013632580486357
48001,0.284872924648318,0.0562718748021349,0.0139226292190728
49001,0.290807653604976,0.0574441811041332,0.0142126779517886
50001,0.296742382561634,0.0586164874061316,0.0145027266845044
51001,0.302677111518292,0.0597887937081299,0.0147927754172202
52001,0.30861184047495,0.0609611000101282,0.015082824149936
53001,0.314546569431609,0.0621334063121265,0.0153728728826518
54001,0.320481298388267,0.0633057126141201,0.0156629216153676
55001,0.326416027344925,0.0644780189161115,0.0159529703480834
56001,0.332350756301583,0.0656503252181029,0.0162430190807992
57001,0.338285485258241,0.0668226315200943,0.016533067813515
58001,0.344220214214899,0.0679949378220857,0.0168231165462308
59001,0.350154943171557,0.069167244124077,0.0171131652789465
60001,0.356089672128215,0.0703395504260684,0.0174032140116623
61001,0.362024401084873,0.0715118567280598,0.0176932627443781
62001,0.367959130041531,0.0726841630300512,0.0179833114770939
63001,0.373893858998189,0.0738564693320426,0.0182733602098097
64001,0.379828587954847,0.075028775634034,0.0185634089425255
65001,0.385763316911505,0.0762010819360254,0.0188534576752413
66001,0.391698045868163,0.0773733882380168,0.0191435064079571
67001,0.397632774824821,0.0785456945400081,0.0194335551406729
68001,0.403567503781479,0.0797180008419995,0.0197236038733887
69001,0.409502232738137,0.0808903071439909,0.0200136526061045
70001,0.415436961694795,0.0820626134459823,0.0203037013388203
71001,0.421371690651453,0.0832349197479737,0.0205937500715361
72001,0.427306419608111,0.0844072260499651,0.0208837988042518
73001,0.433241148564769,0.0855795323519565,0.0211738475369676
74001,0.439175877521427,0.0867518386539479,0.0214638962696834
75001,0.445110606478085,0.0879241449559393,0.0217539450023992
76001,0.451045335434743,0.0890964512579306,0.022043993735115
77001,0.456980064391401,0.090268757559922,0.0223340424678308
78001,0.462914793348059,0.0914410638619134,0.0226240912005466
79001,0.468908249107582,0.0926133701639048,0.0229141399332624
80001,0.475026662746432,0.0937856764658962,0.0232041886659782
81001,0.481274359675842,0.0949579827678876,0.023494237398694
82001,0.487655566614017,0.096130289069879,0.0237842861314098
83001,0.494174947289021,0.0973025953718704,0.0240743348641256
84001,0.500837209138515,0.0984749016738617,0.0243643835968413
85001,0.507647242478251,0.0996472079758531,0.0246544323295571
86001,0.514610127637778,0.100819514277845,0.0249444810622729
87001,0.521731142368266,0.101991820579836,0.0252345297949887
88001,0.529015613762255,0.103164126881827,0.0255245785277045
89001,0.536469230384533,0.104336433183819,0.0258146272604203
90001,0.54409790190197,0.10550873948581,0.0261046759931361
91001,0.551907600539208,0.106681045787801,0.0263947247258519
92001,0.559918715733308,0.107853352089793,0.0266847734585677
93001,0.568130446436689,0.109025658391784,0.0269748221912835
94001,0.576545167188994,0.110197964693776,0.0272648709239993
95001,0.585170154189395,0.111370270995767,0.0275549196567151
96001,0.594012582577273,0.112542577297758,0.0278449683894308
97001,0.603080289187923,0.11371488359975,0.0281350171221466
98001,0.612396730803758,0.114887189901741,0.0284250658548624
99001,0.62197635697982,0.116059496203733,0.0287151145875782
100001,0.631809114916972,0.117231802505724,0.029005163320294
101001,0.641904067996871,0.118404108807715,0.0292952120530098
102001,0.652280880145595,0.119576415109707,0.0295852607857256
103001,0.662980610336675,0.120748721411698,0.0298753095184414
104001,0.673975615554806,0.12192102771369,0.0301653582511572
105001,0.685276388585661,0.123093334015681,0.030455406983873
106001,0.696950523727834,0.124265640317672,0.0307454557165888
107001,0.708966663651146,0.125437946619669,0.0310355044493046
108001,0.721331205198081,0.126610252921674,0.0313255531820194
109001,0.734130835147917,0.127782559223679,0.0316156019147318
110001,0.747306865459403,0.128954865525685,0.0319056506474441
111001,0.760928018959833,0.13012717182769,0.0321956993801564
112001,0.774997608246131,0.131299478129695,0.0324857481128687
113001,0.789535574134754,0.1324717844317,0.0327757968455811
114001,0.804586071525592,0.133644090733706,0.0330658455782934
115001,0.820151770849954,0.134816397035711,0.0333558943110057
116001,0.836279053618917,0.135988703337716,0.033645943043718
117001,0.852997410661317,0.137161009639722,0.0339359917764303
118001,0.870308207993792,0.138333315941727,0.0342260405091427
119001,0.88831980512372,0.139505622243732,0.034516089241855
120001,0.906991558484481,0.140677928545737,0.0348061379745673
121001,0.926394127105729,0.141850234847743,0.0350961867072796
122001,0.946610571345696,0.143022541149748,0.035386235439992
123001,0.967634475396993,0.144194847451753,0.0356762841727043
124001,,0.145367153753758,0.0359663329054166
125001,,0.146539460055764,0.0362563816381289
126001,,0.147711766357769,0.0365464303708413
127001,,0.148884072659774,0.0368364791035536
128001,,0.150056378961779,0.0371265278362659
129001,,0.151228685263785,0.0374165765689782
130001,,0.15240099156579,0.0377066253016905
131001,,0.153573297867795,0.0379966740344029
132001,,0.154745604169801,0.0382867227671152
133001,,0.155917910471806,0.0385767714998275
134001,,0.157090216773811,0.0388668202325398
135001,,0.158262523075816,0.0391568689652522
136001,,0.159434829377822,0.0394469176979645
137001,,0.160607135679827,0.0397369664306768
138001,,0.161779441981832,0.0400270151633891
139001,,0.162951748283837,0.0403170638961014
140001,,0.164124054585843,0.0406071126288138
141001,,0.165296360887848,0.0408971613615261
142001,,0.166468667189853,0.0411872100942384
143001,,0.167640973491858,0.0414772588269507
144001,,0.168813279793864,0.0417673075596631
145001,,0.169985586095869,0.0420573562923754
146001,,0.171157892397874,0.0423474050250877
147001,,0.17233019869988,0.0426374537578
148001,,0.173502505001885,0.0429275024905123
149001,,0.17467481130389,0.0432175512232247
150001,,0.175847117605895,0.043507599955937
151001,,0.177019423907901,0.0437976486886493
152001,,0.17819402753916,0.0440876974213616
153001,,0.179423767072531,0.044377746154074
154001,,0.180653506605901,0.0446677948867863
155001,,0.181883246139272,0.0449578436194986
156001,,0.183112985672642,0.0452478923522109
157001,,0.184393216081913,0.0455379410849232
158001,,0.185683279242405,0.0458279898176356
159001,,0.186973342402897,0.0461180385503479
160001,,0.188263405563388,0.0464080872830602
161001,,0.189598709412375,0.0466981360157725
162001,,0.190952134881683,0.0469881847484849
163001,,0.192305560350992,0.0472782334811972
164001,,0.1936589858203,0.0475682822139095
165001,,0.195057004475866,0.0478583309466218
166001,,0.19647698693959,0.0481483796793341
167001,,0.197896969403314,0.0484384284120465
168001,,0.199316951867038,0.0487284771447588
169001,,0.200786015228001,0.0490185258774711
170001,,0.202275913499757,0.0493085746101834
171001,,0.203765811771513,0.0495986233428958
172001,,0.205255710043269,0.0498886720756081
173001,,0.206805100629232,0.0501787208083204
174001,,0.208368446202479,0.0504687695410327
175001,,0.209931791775725,0.0507588182737451
176001,,0.211495137348972,0.0510488670064574
177001,,0.21313510327586,0.0513389157391697
178001,,0.214775609326087,0.051628964471882
179001,,0.216416115376313,0.0519190132045943
180001,,0.218076725499717,0.0522090619373067
181001,,0.219798296361141,0.052499110670019
182001,,0.221519867222564,0.0527891594027313
183001,,0.223241438083988,0.0530792081354436
184001,,0.225012067026833,0.053369256868156
185001,,0.226818808168502,0.0536593056008683
186001,,0.228625549310171,0.0539493543335806
187001,,0.23043229045184,0.0542394030662929
188001,,0.232326192307934,0.0545294517990052
189001,,0.234222420836076,0.0548195005317176
190001,,0.236118649364218,0.0551095492644299
191001,,0.23805643790865,0.0553995979971422
192001,,0.240046693622968,0.0556896467298545
193001,,0.242036949337286,0.0559796954625669
194001,,0.244027205051604,0.0562697441952792
195001,,0.246114088456217,0.0565597929279915
196001,,0.248203145489856,0.0568498416607038
197001,,0.250292202523494,0.0571398903934161
198001,,0.252441580162611,0.0574299391261285
199001,,0.254634459236658,0.0577199878588408
200001,,0.256827338310706,0.0580100365915531
201001,,0.259047492947562,0.0583000853242654
202001,,0.261349474272843,0.0585901340569778
203001,,0.263651455598125,0.0588801827896901
204001,,0.265953436923406,0.0591702315224024
205001,,0.268368124640093,0.0594602802551147
206001,,0.270784761500885,0.059750328987827
207001,,0.273201398361676,0.0600403777205394
208001,,0.275712142750606,0.0603304264532517
209001,,0.278249275806198,0.060620475185964
210001,,0.280786408861789,0.0609105239186763
211001,,0.283404717700419,0.0612005726513887
212001,,0.286068490043123,0.061490621384101
213001,,0.288732262385826,0.0617806701168133
214001,,0.291470970404138,0.0620707188495256
215001,,0.294267843413996,0.0623607675822379
216001,,0.297064716423854,0.0626508163149503
217001,,0.299937833314254,0.0629408650476626
218001,,0.30287460335263,0.0632309137803749
219001,,0.305811373391005,0.0635209625130872
220001,,0.308834312355381,0.0638110112457996
221001,,0.311918128342562,0.0641010599785119
222001,,0.315001944329744,0.0643911087112242
223001,,0.318191792549437,0.0646811574439365
224001,,0.321430174473224,0.0649712061766489
225001,,0.324668556397011,0.0652612549093612
226001,,0.32804390599418,0.0655513036420735
227001,,0.331444764398847,0.0658413523747858
228001,,0.334855358295436,0.0661314011074981
229001,,0.338427014803986,0.0664214498402105
230001,,0.341998671312535,0.0667114985729228
231001,,0.34562886190859,0.0670015473056351
232001,,0.349380070832797,0.0672915960383474
233001,,0.353131279757005,0.0675816447710598
234001,,0.357004995331311,0.0678716935037721
235001,,0.360944966428245,0.0681617422364844
236001,,0.364889898808648,0.0684517909691967
237001,,0.369028321244388,0.068741839701909
238001,,0.373166743680128,0.0690318884346214
239001,,0.377399891013813,0.0693219371673337
240001,,0.38174695859921,0.069611985900046
241001,,0.386094026184607,0.0699020346327583
242001,,0.390646204889103,0.0701920833654707
243001,,0.395212642655354,0.070482132098183
244001,,0.399886565381123,0.0707721808308953
245001,,0.404683657566938,0.0710622295636076
246001,,0.409491906010388,0.0713522782963199
247001,,0.414531525536081,0.0716423270290323
248001,,0.419571145061774,0.0719323757617446
249001,,0.424783158095575,0.0722224244944569
250001,,0.430077797603677,0.0725124732271692
251001,,0.435467099370256,0.0728025219598816
252001,,0.441029903916533,0.0730925706925939
253001,,0.446614704223868,0.0733826194253062
254001,,0.452459505706781,0.0736726681580185
255001,,0.458304307189693,0.0739627168907308
256001,,0.464400584716977,0.0742527656234432
257001,,0.470541938139005,0.0745428143561555
258001,,0.476890372070153,0.0748328630888678
259001,,0.483343593728806,0.0751229118215801
260001,,0.489968680079339,0.0754129605542925
261001,,0.496749887791198,0.0757191946493395
262001,,0.503678733142237,0.0760309395782109
263001,,0.510804888609178,0.0763426845070823
264001,,0.518067093312954,0.0766544294359538
265001,,0.525556046744788,0.0769661743648252
266001,,0.533183896637429,0.0772779192936966
267001,,0.541054433752803,0.077589664222568
268001,,0.549083505862685,0.0779014091514395
269001,,0.557355397394538,0.0782131540803109
270001,,0.565824016562487,0.0785248990091823
271001,,0.574518070403561,0.0788486340514691
272001,,0.583467904122297,0.0791837060492421
273001,,0.592606020250979,0.079518778047015
274001,,0.602083259843251,0.0798538500447879
275001,,0.611688488180735,0.0801889220425609
276001,,0.621742831455095,0.0805239940403338
277001,,0.631911800055898,0.0808590660381068
278001,,0.642525310317113,0.0811941380358797
279001,,0.653357423156285,0.0815292100336526
280001,,0.664514720924857,0.0818642820314256
281001,,0.676073046810345,0.082213123439281
282001,,0.68782409164868,0.0825732763297361
283001,,0.700155331056039,0.0829334292201912
284001,,0.712743020983493,0.0832935821106463
285001,,0.72570747155158,0.0836537350011014
286001,,0.739210221460171,0.0840138878915565
287001,,0.75301261732358,0.0843740407820116
288001,,0.767344231947744,0.0847341936724667
289001,,0.782203175818559,0.0850943465629218
290001,,0.797440711004541,0.0854544994533769
291001,,0.813285872736905,0.0858373854836701
292001,,0.829744267554131,0.0862245053252973
293001,,0.846677500249128,0.0866116251669245
294001,,0.864198443904719,0.0869987450085517
295001,,0.882543973340618,0.0873858648501789
296001,,0.901479996129811,0.0877729846918061
297001,,0.921048779068057,0.0881601045334333
298001,,0.941426569097781,0.0885472243750605
299001,,0.962726326265653,0.0889343442166877
300001,,,0.0893328011930367
301001,,,0.0897489162641313
