Cycle,Config 1,Config 2,Config 3
1,444.653033868968,444.653033868968,444.653033868968
1001,444.653033868968,444.653033868968,444.653033868968
2001,444.653033868968,444.653033868968,444.653033868968
3001,444.653033868968,444.653033868968,444.653033868968
4001,444.653033868968,444.653033868968,444.653033868968
5001,444.653033868968,444.653033868968,444.653033868968
6001,444.653033868968,444.653033868968,444.653033868968
7001,444.653033868968,444.653033868968,444.653033868968
8001,444.653033868968,444.653033868968,444.653033868968
9001,444.653033868968,444.653033868968,444.653033868968
10001,444.653033868968,444.653033868968,444.653033868968
11001,444.653033868968,444.653033868968,444.653033868968
12001,444.653033868968,444.653033868968,444.653033868968
13001,444.653033868968,444.653033868968,444.653033868968
14001,444.653033868968,444.653033868968,444.653033868968
15001,444.653033868968,444.653033868968,444.653033868968
16001,444.653033868968,444.653033868968,444.653033868968
17001,444.653033868968,444.653033868968,444.653033868968
18001,444.653033868968,444.653033868968,444.653033868968
19001,444.653033868968,444.653033868968,444.653033868968
20001,444.653033868968,444.653033868968,444.653033868968
21001,444.653033868968,444.653033868968,444.653033868968
22001,444.653033868968,444.653033868968,444.653033868968
23001,444.653033868968,444.653033868968,444.653033868968
24001,444.653033868968,444.653033868968,444.653033868968
25001,444.653033868968,444.653033868968,444.653033868968
26001,444.653033868968,444.653033868968,444.653033868968
27001,444.653033868968,444.653033868968,444.653033868968
28001,444.653033868968,444.653033868968,444.653033868968
29001,444.653033868968,444.653033868968,444.653033868968
30001,444.653033868968,444.653033868968,444.653033868968
31001,444.653033868968,444.653033868968,444.653033868968
32001,444.653033868968,444.653033868968,444.653033868968
33001,444.653033868968,444.653033868968,444.653033868968
34001,444.653033868968,444.653033868968,444.653033868968
35001,444.653033868968,444.653033868968,444.653033868968
36001,444.653033868968,444.653033868968,444.653033868968
37001,444.653033868968,444.653033868968,444.653033868968
38001,444.653033868968,444.653033868968,444.653033868968
39001,444.653033868968,444.653033868968,444.653033868968
40001,444.653033868968,444.653033868968,444.653033868968
41001,444.653033868968,444.653033868968,444.653033868968
42001,444.653033868968,444.653033868968,444.653033868968
43001,444.653033868968,444.653033868968,444.653033868968
44001,444.653033868968,444.653033868968,444.653033868968
45001,444.653033868968,444.653033868968,444.653033868968
46001,444.653033868968,444.653033868968,444.653033868968
47001,444.653033868968,444.653033868968,444.653033868968
48001,444.653033868968,444.653033868968,444.653033868968
49001,444.653033868968,444.653033868968,444.653033868968
50001,444.653033868968,444.653033868968,444.653033868968
51001,444.653033868968,444.653033868968,444.653033868968
52001,444.653033868968,444.653033868968,444.653033868968
53001,444.653033868968,444.653033868968,444.653033868968
54001,444.653033868968,444.653033868968,444.653033868968
55001,444.653033868968,444.653033868968,444.653033868968
56001,444.653033868968,444.653033868968,444.653033868968
57001,444.653033868968,444.653033868968,444.653033868968
58001,444.653033868968,444.653033868968,444.653033868968
