Cycle,Stress,Cycle,Stress,Cycle,Stress
162,444.6530339,78699,445.0322102,118200,464.6484519
163,444.6530339,78700,445.0322102,118201,464.6484519
164,444.6530339,78701,445.0322102,118202,464.6484519
165,444.6530339,78702,445.0322102,118203,464.6484519
166,444.6530339,78703,445.0322102,118204,464.6484519
167,444.6530339,78704,445.0322102,118205,464.6484519
168,444.6530339,78705,445.0322102,118206,464.6484519
169,444.6530339,78706,445.0322102,118207,464.6484519
170,444.6530339,78707,445.0322102,118208,464.6484519
171,444.6530339,78708,445.0322102,118209,464.6484519
172,444.6530339,78709,445.0322102,118210,464.6484519
173,444.6530339,78710,445.0322102,118211,464.6484519
174,444.6530339,78711,445.0322102,118212,464.6484519
175,444.6530339,78712,445.0322102,118213,464.6484519
176,444.6530339,78713,445.0322102,118214,464.6484519
177,444.6530339,78714,445.0322102,118215,464.6484519
178,444.6530339,78715,445.0322102,118216,464.6484519
179,444.6530339,78716,445.0322102,118217,464.6484519
180,444.6530339,78717,445.0322102,118218,464.6484519
181,444.6530339,78718,445.0322102,118219,464.6484519
182,444.6530339,78719,445.0322102,118220,464.6484519
183,444.6530339,78720,445.0322102,118221,464.6484519
184,444.6530339,78721,445.0322102,118222,464.6484519
185,444.6530339,78722,445.0322102,118223,464.6484519
186,444.6530339,78723,445.0322102,118224,464.6484519
187,444.6530339,78724,445.0322102,118225,464.6484519
188,444.6530339,78725,445.0322102,118226,464.6484519
189,444.6530339,78726,445.0322102,118227,464.6484519
190,444.6530339,78727,445.0322102,118228,464.6484519
191,444.6530339,78728,445.0322102,118229,464.6484519
192,444.6530339,78729,445.0322102,118230,464.6484519
193,444.6530339,78730,445.0322102,118231,464.6484519
194,444.6530339,78731,445.0322102,118232,464.6484519
195,444.6530339,78732,445.0322102,118233,464.6484519
196,444.6530339,78733,445.0322102,118234,464.6484519
197,444.6530339,78734,445.0322102,118235,464.6484519
198,444.6530339,78735,445.0322102,118236,464.6484519
199,444.6530339,78736,445.0322102,118237,464.6484519
200,444.6530339,78737,445.0322102,118238,464.6484519
201,444.6530339,78738,445.0322102,118239,464.6484519
202,444.6530339,78739,445.0322102,118240,464.6484519
203,444.6530339,78740,445.0322102,118241,464.6484519
204,444.6530339,78741,445.0322102,118242,464.6484519
205,444.6530339,78742,445.0322102,118243,464.6484519
206,444.6530339,78743,445.0322102,118244,464.6484519
207,444.6530339,78744,445.0322102,118245,464.6484519
208,444.6530339,78745,445.0322102,118246,464.6484519
209,444.6530339,78746,445.0322102,118247,464.6484519
210,444.6530339,78747,445.0322102,118248,464.6484519
211,444.6530339,78748,445.0322102,118249,464.6484519
212,444.6530339,78749,445.0322102,118250,464.6484519
213,444.6530339,78750,445.0322102,118251,464.6484519
214,444.6530339,78751,445.0322102,118252,464.6484519
215,444.6530339,78752,445.0322102,118253,464.6484519
216,444.6530339,78753,445.0322102,118254,464.6484519
217,444.6530339,78754,445.0322102,118255,464.6484519
218,444.6530339,78755,445.0322102,118256,464.6484519
219,444.6530339,78756,445.0322102,118257,464.6484519
220,444.6530339,78757,445.0322102,118258,464.6484519
221,444.6530339,78758,445.0322102,118259,464.6484519
222,444.6530339,78759,445.0322102,118260,464.6484519
223,444.6530339,78760,445.0322102,118261,464.6484519
224,444.6530339,78761,445.0322102,118262,464.6484519
225,444.6530339,78762,445.0322102,118263,464.6484519
226,444.6530339,78763,445.0322102,118264,464.6484519
227,444.6530339,78764,445.0322102,118265,464.6484519
228,444.6530339,78765,445.0322102,118266,464.6484519
229,444.6530339,78766,445.0322102,118267,464.6484519
230,444.6530339,78767,445.0322102,118268,464.6484519
231,444.6530339,78768,445.0322102,118269,464.6484519
232,444.6530339,78769,445.0322102,118270,464.6484519
233,444.6530339,78770,445.0322102,118271,464.6484519
234,444.6530339,78771,445.0322102,118272,464.6484519
235,444.6530339,78772,445.0322102,118273,464.6484519
236,444.6530339,78773,445.0322102,118274,464.6484519
237,444.6530339,78774,445.0322102,118275,464.6484519
238,444.6530339,78775,445.0322102,118276,464.6484519
239,444.6530339,78776,445.0322102,118277,464.6484519
240,444.6530339,78777,445.0322102,118278,464.6484519
241,444.6530339,78778,445.0322102,118279,464.6484519
242,444.6530339,78779,445.0322102,118280,464.6484519
243,444.6530339,78780,445.0322102,118281,464.6484519
244,444.6530339,78781,445.0322102,118282,464.6484519
245,444.6530339,78782,445.0322102,118283,464.6484519
246,444.6530339,78783,445.0322102,118284,464.6484519
247,444.6530339,78784,445.0322102,118285,464.6484519
248,444.6530339,78785,445.0322102,118286,464.6484519
249,444.6530339,78786,445.0322102,118287,464.6484519
250,444.6530339,78787,445.0322102,118288,464.6484519
251,444.6530339,78788,445.0322102,118289,464.6484519
252,444.6530339,78789,445.0322102,118290,464.6484519
253,444.6530339,78790,445.0322102,118291,464.6484519
254,444.6530339,78791,445.0322102,118292,464.6484519
255,444.6530339,78792,445.0322102,118293,464.6484519
256,444.6530339,78793,445.0322102,118294,464.6484519
257,444.6530339,78794,445.0322102,118295,464.6484519
258,444.6530339,78795,445.0322102,118296,464.6484519
259,444.6530339,78796,445.0322102,118297,464.6484519
260,444.6530339,78797,445.0322102,118298,464.6484519
261,444.6530339,78798,445.0322102,118299,464.6484519
262,444.6530339,78799,445.0322102,118300,464.6484519
263,444.6530339,78800,445.0322102,118301,464.6484519
264,444.6530339,78801,445.0322102,118302,464.6484519
265,444.6530339,78802,445.0322102,118303,464.6484519
266,444.6530339,78803,445.0322102,118304,464.6484519
267,444.6530339,78804,445.0322102,118305,464.6484519
268,444.6530339,78805,445.0322102,118306,464.6484519
269,444.6530339,78806,445.0322102,118307,464.6484519
270,444.6530339,78807,445.0322102,118308,464.6484519
271,444.6530339,78808,445.0322102,118309,464.6484519
272,444.6530339,78809,445.0322102,118310,464.6484519
273,444.6530339,78810,445.0322102,118311,464.6484519
274,444.6530339,78811,445.0322102,118312,464.6484519
275,444.6530339,78812,445.0322102,118313,464.6484519
276,444.6530339,78813,445.0322102,118314,464.6484519
277,444.6530339,78814,445.0322102,118315,464.6484519
278,444.6530339,78815,445.0322102,118316,464.6484519
279,444.6530339,78816,445.0322102,118317,464.6484519
280,444.6530339,78817,445.0322102,118318,464.6484519
281,444.6530339,78818,445.0322102,118319,464.6484519
282,444.6530339,78819,445.0322102,118320,464.6484519
283,444.6530339,78820,445.0322102,118321,464.6484519
284,444.6530339,78821,445.0322102,118322,464.6484519
285,444.6530339,78822,445.0322102,118323,464.6484519
286,444.6530339,78823,445.0322102,118324,464.6484519
287,444.6530339,78824,445.0322102,118325,464.6484519
288,444.6530339,78825,445.0322102,118326,464.6484519
289,444.6530339,78826,445.0322102,118327,464.6484519
290,444.6530339,78827,445.0322102,118328,464.6484519
291,444.6530339,78828,445.0322102,118329,464.6484519
292,444.6530339,78829,445.0322102,118330,464.6484519
293,444.6530339,78830,445.0322102,118331,464.6484519
294,444.6530339,78831,445.0322102,118332,464.6484519
295,444.6530339,78832,445.0322102,118333,464.6484519
296,444.6530339,78833,445.0322102,118334,464.6484519
297,444.6530339,78834,445.0322102,118335,464.6484519
298,444.6530339,78835,445.0322102,118336,464.6484519
299,444.6530339,78836,445.0322102,118337,464.6484519
300,444.6530339,78837,445.0322102,118338,464.6484519
301,444.6530339,78838,445.0322102,118339,464.6484519
302,444.6530339,78839,445.0322102,118340,464.6484519
303,444.6530339,78840,445.0322102,118341,464.6484519
304,444.6530339,78841,445.0322102,118342,464.6484519
305,444.6530339,78842,445.0322102,118343,464.6484519
306,444.6530339,78843,445.0322102,118344,464.6484519
307,444.6530339,78844,445.0322102,118345,464.6484519
308,444.6530339,78845,445.0322102,118346,464.6484519
309,444.6530339,78846,445.0322102,118347,464.6484519
310,444.6530339,78847,445.0322102,118348,464.6484519
311,444.6530339,78848,445.0322102,118349,464.6484519
312,444.6530339,78849,445.0322102,118350,464.6484519
313,444.6530339,78850,445.0322102,118351,464.6484519
314,444.6530339,78851,445.0322102,118352,464.6484519
315,444.6530339,78852,445.0322102,118353,464.6484519
316,444.6530339,78853,445.0322102,118354,464.6484519
317,444.6530339,78854,445.0322102,118355,464.6484519
318,444.6530339,78855,445.0322102,118356,464.6484519
319,444.6530339,78856,445.0322102,118357,464.6484519
320,444.6530339,78857,445.0322102,118358,464.6484519
321,444.6530339,78858,445.0322102,118359,464.6484519
322,444.6530339,78859,445.0322102,118360,464.6484519
323,444.6530339,78860,445.0322102,118361,464.6484519
324,444.6530339,78861,445.0322102,118362,464.6484519
325,444.6530339,78862,445.0322102,118363,464.6484519
326,444.6530339,78863,445.0322102,118364,464.6484519
327,444.6530339,78864,445.0322102,118365,464.6484519
328,444.6530339,78865,445.0322102,118366,464.6484519
329,444.6530339,78866,445.0322102,118367,464.6484519
330,444.6530339,78867,445.0322102,118368,464.6484519
331,444.6530339,78868,445.0322102,118369,464.6484519
332,444.6530339,78869,445.0322102,118370,464.6484519
333,444.6530339,78870,445.0322102,118371,464.6484519
334,444.6530339,78871,445.0322102,118372,464.6484519
335,444.6530339,78872,445.0322102,118373,464.6484519
336,444.6530339,78873,445.0322102,118374,464.6484519
337,444.6530339,78874,445.0322102,118375,464.6484519
338,444.6530339,78875,445.0322102,118376,464.6484519
339,444.6530339,78876,445.0322102,118377,464.6484519
340,444.6530339,78877,445.0322102,118378,464.6484519
341,444.6530339,78878,445.0322102,118379,464.6484519
342,444.6530339,78879,445.0322102,118380,464.6484519
343,444.6530339,78880,445.0322102,118381,464.6484519
344,444.6530339,78881,445.0322102,118382,464.6484519
345,444.6530339,78882,445.0322102,118383,464.6484519
346,444.6530339,78883,445.0322102,118384,464.6484519
347,444.6530339,78884,445.0322102,118385,464.6484519
348,444.6530339,78885,445.0322102,118386,464.6484519
349,444.6530339,78886,445.0322102,118387,464.6484519
350,444.6530339,78887,445.0322102,118388,464.6484519
351,444.6530339,78888,445.0322102,118389,464.6484519
352,444.6530339,78889,445.0322102,118390,464.6484519
353,444.6530339,78890,445.0322102,118391,464.6484519
354,444.6530339,78891,445.0322102,118392,464.6484519
355,444.6530339,78892,445.0322102,118393,464.6484519
356,444.6530339,78893,445.0322102,118394,464.6484519
357,444.6530339,78894,445.0322102,118395,464.6484519
358,444.6530339,78895,445.0322102,118396,464.6484519
359,444.6530339,78896,445.0322102,118397,464.6484519
360,444.6530339,78897,445.0322102,118398,464.6484519
361,444.6530339,78898,445.0322102,118399,464.6484519
362,444.6530339,78899,445.0322102,118400,464.6484519
363,444.6530339,78900,445.0322102,118401,464.6484519
364,444.6530339,78901,445.0322102,118402,464.6484519
365,444.6530339,78902,445.0322102,118403,464.6484519
366,444.6530339,78903,445.0322102,118404,464.6484519
367,444.6530339,78904,445.0322102,118405,464.6484519
368,444.6530339,78905,445.0322102,118406,464.6484519
369,444.6530339,78906,445.0322102,118407,464.6484519
370,444.6530339,78907,445.0322102,118408,464.6484519
371,444.6530339,78908,445.0322102,118409,464.6484519
372,444.6530339,78909,445.0322102,118410,464.6484519
373,444.6530339,78910,445.0322102,118411,464.6484519
374,444.6530339,78911,445.0322102,118412,464.6484519
375,444.6530339,78912,445.0322102,118413,464.6484519
376,444.6530339,78913,445.0322102,118414,464.6484519
377,444.6530339,78914,445.0322102,118415,464.6484519
378,444.6530339,78915,445.0322102,118416,464.6484519
379,444.6530339,78916,445.0322102,118417,464.6484519
380,444.6530339,78917,445.0322102,118418,464.6484519
381,444.6530339,78918,445.0322102,118419,464.6484519
382,444.6530339,78919,445.0322102,118420,464.6484519
383,444.6530339,78920,445.0322102,118421,464.6484519
384,444.6530339,78921,445.0322102,118422,464.6484519
385,444.6530339,78922,445.0322102,118423,464.6484519
386,444.6530339,78923,445.0322102,118424,464.6484519
387,444.6530339,78924,445.0322102,118425,464.6484519
388,444.6530339,78925,445.0322102,118426,464.6484519
389,444.6530339,78926,445.0322102,118427,464.6484519
390,444.6530339,78927,445.0322102,118428,464.6484519
391,444.6530339,78928,445.0322102,118429,464.6484519
392,444.6530339,78929,445.0322102,118430,464.6484519
393,444.6530339,78930,445.0322102,118431,464.6484519
394,444.6530339,78931,445.0322102,118432,464.6484519
395,444.6530339,78932,445.0322102,118433,464.6484519
396,444.6530339,78933,445.0322102,118434,464.6484519
397,444.6530339,78934,445.0322102,118435,464.6484519
398,444.6530339,78935,445.0322102,118436,464.6484519
399,444.6530339,78936,445.0322102,118437,464.6484519
400,444.6530339,78937,445.0322102,118438,464.6484519
401,444.6530339,78938,445.0322102,118439,464.6484519
402,444.6530339,78939,445.0322102,118440,464.6484519
403,444.6530339,78940,445.0322102,118441,464.6484519
404,444.6530339,78941,445.0322102,118442,464.6484519
405,444.6530339,78942,445.0322102,118443,464.6484519
406,444.6530339,78943,445.0322102,118444,464.6484519
407,444.6530339,78944,445.0322102,118445,464.6484519
408,444.6530339,78945,445.0322102,118446,464.6484519
409,444.6530339,78946,445.0322102,118447,464.6484519
410,444.6530339,78947,445.0322102,118448,464.6484519
411,444.6530339,78948,445.0322102,118449,464.6484519
412,444.6530339,78949,445.0322102,118450,464.6484519
413,444.6530339,78950,445.0322102,118451,464.6484519
414,444.6530339,78951,445.0322102,118452,464.6484519
415,444.6530339,78952,445.0322102,118453,464.6484519
416,444.6530339,78953,445.0322102,118454,464.6484519
417,444.6530339,78954,445.0322102,118455,464.6484519
418,444.6530339,78955,445.0322102,118456,464.6484519
419,444.6530339,78956,445.0322102,118457,464.6484519
420,444.6530339,78957,445.0322102,118458,464.6484519
421,444.6530339,78958,445.0322102,118459,464.6484519
422,444.6530339,78959,445.0322102,118460,464.6484519
423,444.6530339,78960,445.0322102,118461,464.6484519
424,444.6530339,78961,445.0322102,118462,464.6484519
425,444.6530339,78962,445.0322102,118463,464.6484519
426,444.6530339,78963,445.0322102,118464,464.6484519
427,444.6530339,78964,445.0322102,118465,464.6484519
428,444.6530339,78965,445.0322102,118466,464.6484519
429,444.6530339,78966,445.0322102,118467,464.6484519
430,444.6530339,78967,445.0322102,118468,464.6484519
431,444.6530339,78968,445.0322102,118469,464.6484519
432,444.6530339,78969,445.0322102,118470,464.6484519
433,444.6530339,78970,445.0322102,118471,464.6484519
434,444.6530339,78971,445.0322102,118472,464.6484519
435,444.6530339,78972,445.0322102,118473,464.6484519
436,444.6530339,78973,445.0322102,118474,464.6484519
437,444.6530339,78974,445.0322102,118475,464.6484519
438,444.6530339,78975,445.0322102,118476,464.6484519
439,444.6530339,78976,445.0322102,118477,464.6484519
440,444.6530339,78977,445.0322102,118478,464.6484519
441,444.6530339,78978,445.0322102,118479,464.6484519
442,444.6530339,78979,445.0322102,118480,464.6484519
443,444.6530339,78980,445.0322102,118481,464.6484519
444,444.6530339,78981,445.0322102,118482,464.6484519
445,444.6530339,78982,445.0322102,118483,464.6484519
446,444.6530339,78983,445.0322102,118484,464.6484519
447,444.6530339,78984,445.0322102,118485,464.6484519
448,444.6530339,78985,445.0322102,118486,464.6484519
449,444.6530339,78986,445.0322102,118487,464.6484519
450,444.6530339,78987,445.0322102,118488,464.6484519
451,444.6530339,78988,445.0322102,118489,464.6484519
452,444.6530339,78989,445.0322102,118490,464.6484519
453,444.6530339,78990,445.0322102,118491,464.6484519
454,444.6530339,78991,445.0322102,118492,464.6484519
455,444.6530339,78992,445.0322102,118493,464.6484519
456,444.6530339,78993,445.0322102,118494,464.6484519
457,444.6530339,78994,445.0322102,118495,464.6484519
458,444.6530339,78995,445.0322102,118496,464.6484519
459,444.6530339,78996,445.0322102,118497,464.6484519
460,444.6530339,78997,445.0322102,118498,464.6484519
461,444.6530339,78998,445.0322102,118499,464.6484519
462,444.6530339,78999,445.0322102,118500,464.6484519
463,444.6530339,79000,445.0322102,118501,464.6484519
464,444.6530339,79001,445.0322102,118502,464.6484519
465,444.6530339,79002,445.0322102,118503,464.6484519
466,444.6530339,79003,445.0322102,118504,464.6484519
467,444.6530339,79004,445.0322102,118505,464.6484519
468,444.6530339,79005,445.0322102,118506,464.6484519
469,444.6530339,79006,445.0322102,118507,464.6484519
470,444.6530339,79007,445.0322102,118508,464.6484519
471,444.6530339,79008,445.0322102,118509,464.6484519
472,444.6530339,79009,445.0322102,118510,464.6484519
473,444.6530339,79010,445.0322102,118511,464.6484519
474,444.6530339,79011,445.0322102,118512,464.6484519
475,444.6530339,79012,445.0322102,118513,464.6484519
476,444.6530339,79013,445.0322102,118514,464.6484519
477,444.6530339,79014,445.0322102,118515,464.6484519
478,444.6530339,79015,445.0322102,118516,464.6484519
479,444.6530339,79016,445.0322102,118517,464.6484519
480,444.6530339,79017,445.0322102,118518,464.6484519
481,444.6530339,79018,445.0322102,118519,464.6484519
482,444.6530339,79019,445.0322102,118520,464.6484519
483,444.6530339,79020,445.0322102,118521,464.6484519
484,444.6530339,79021,445.0322102,118522,464.6484519
485,444.6530339,79022,445.0322102,118523,464.6484519
486,444.6530339,79023,445.0322102,118524,464.6484519
487,444.6530339,79024,445.0322102,118525,464.6484519
488,444.6530339,79025,445.0322102,118526,464.6484519
489,444.6530339,79026,445.0322102,118527,464.6484519
490,444.6530339,79027,445.0322102,118528,464.6484519
491,444.6530339,79028,445.0322102,118529,464.6484519
492,444.6530339,79029,445.0322102,118530,464.6484519
493,444.6530339,79030,445.0322102,118531,464.6484519
494,444.6530339,79031,445.0322102,118532,464.6484519
495,444.6530339,79032,445.0322102,118533,464.6484519
496,444.6530339,79033,445.0322102,118534,464.6484519
497,444.6530339,79034,445.0322102,118535,464.6484519
498,444.6530339,79035,445.0322102,118536,464.6484519
499,444.6530339,79036,445.0322102,118537,464.6484519
500,444.6530339,79037,445.0322102,118538,464.6484519
501,444.6530339,79038,445.0322102,118539,464.6484519
502,444.6530339,79039,445.0322102,118540,464.6484519
503,444.6530339,79040,445.0322102,118541,464.6484519
504,444.6530339,79041,445.0322102,118542,464.6484519
505,444.6530339,79042,445.0322102,118543,464.6484519
506,444.6530339,79043,445.0322102,118544,464.6484519
507,444.6530339,79044,445.0322102,118545,464.6484519
508,444.6530339,79045,445.0322102,118546,464.6484519
509,444.6530339,79046,445.0322102,118547,464.6484519
510,444.6530339,79047,445.0322102,118548,464.6484519
511,444.6530339,79048,445.0322102,118549,464.6484519
512,444.6530339,79049,445.0322102,118550,464.6484519
513,444.6530339,79050,445.0322102,118551,464.6484519
514,444.6530339,79051,445.0322102,118552,464.6484519
515,444.6530339,79052,445.0322102,118553,464.6484519
516,444.6530339,79053,445.0322102,118554,464.6484519
517,444.6530339,79054,445.0322102,118555,464.6484519
518,444.6530339,79055,445.0322102,118556,464.6484519
519,444.6530339,79056,445.0322102,118557,464.6484519
520,444.6530339,79057,445.0322102,118558,464.6484519
521,444.6530339,79058,445.0322102,118559,464.6484519
522,444.6530339,79059,445.0322102,118560,464.6484519
523,444.6530339,79060,445.0322102,118561,464.6484519
524,444.6530339,79061,445.0322102,118562,464.6484519
525,444.6530339,79062,445.0322102,118563,464.6484519
526,444.6530339,79063,445.0322102,118564,464.6484519
527,444.6530339,79064,445.0322102,118565,464.6484519
528,444.6530339,79065,445.0322102,118566,464.6484519
529,444.6530339,79066,445.0322102,118567,464.6484519
530,444.6530339,79067,445.0322102,118568,464.6484519
531,444.6530339,79068,445.0322102,118569,464.6484519
532,444.6530339,79069,445.0322102,118570,464.6484519
533,444.6530339,79070,445.0322102,118571,464.6484519
534,444.6530339,79071,445.0322102,118572,464.6484519
