Cycle,Config 1,Config 2,Config 3
1,444.653033868968,424.097745216886,405.284305927375
1001,444.653033868968,424.097745216886,405.284305927375
2001,444.653033868968,424.097745216886,405.284305927375
3001,444.653033868968,424.097745216886,405.284305927375
4001,444.653033868968,424.097745216886,405.284305927375
5001,444.653033868968,424.097745216886,405.284305927375
6001,444.653033868968,424.097745216886,405.284305927375
7001,444.653033868968,424.097745216886,405.284305927375
8001,444.653033868968,424.097745216886,405.284305927375
9001,444.653033868968,424.097745216886,405.284305927375
10001,444.653033868968,424.097745216886,405.284305927375
11001,444.653033868968,424.097745216886,405.284305927375
12001,444.653033868968,424.097745216886,405.284305927375
13001,444.653033868968,424.097745216886,405.284305927375
14001,444.653033868968,424.097745216886,405.284305927375
15001,444.653033868968,424.097745216886,405.284305927375
16001,444.653033868968,424.097745216886,405.284305927375
17001,444.653033868968,424.097745216886,405.284305927375
18001,444.653033868968,424.097745216886,405.284305927375
19001,444.653033868968,424.097745216886,405.284305927375
20001,444.653033868968,424.097745216886,405.284305927375
21001,444.653033868968,424.097745216886,405.284305927375
22001,444.653033868968,424.097745216886,405.284305927375
23001,444.653033868968,424.097745216886,405.284305927375
24001,444.653033868968,424.097745216886,405.284305927375
25001,444.653033868968,424.097745216886,405.284305927375
26001,444.653033868968,424.097745216886,405.284305927375
27001,444.653033868968,424.097745216886,405.284305927375
28001,444.653033868968,424.097745216886,405.284305927375
29001,444.653033868968,424.097745216886,405.284305927375
30001,444.653033868968,424.097745216886,405.284305927375
31001,444.653033868968,424.097745216886,405.284305927375
32001,444.653033868968,424.097745216886,405.284305927375
33001,444.653033868968,424.097745216886,405.284305927375
34001,444.653033868968,424.097745216886,405.284305927375
35001,444.653033868968,424.097745216886,405.284305927375
36001,444.653033868968,424.097745216886,405.284305927375
37001,444.653033868968,424.097745216886,405.284305927375
38001,444.653033868968,424.097745216886,405.284305927375
39001,444.653033868968,424.097745216886,405.284305927375
40001,444.653033868968,424.097745216886,405.284305927375
41001,444.653033868968,424.097745216886,405.284305927375
42001,444.653033868968,424.097745216886,405.284305927375
43001,444.653033868968,424.097745216886,405.284305927375
44001,444.653033868968,424.097745216886,405.284305927375
45001,444.653033868968,424.097745216886,405.284305927375
46001,444.653033868968,424.097745216886,405.284305927375
47001,444.653033868968,424.097745216886,405.284305927375
48001,444.653033868968,424.097745216886,405.284305927375
49001,444.653033868968,424.097745216886,405.284305927375
50001,444.653033868968,424.097745216886,405.284305927375
51001,444.653033868968,424.097745216886,405.284305927375
52001,444.653033868968,424.097745216886,405.284305927375
53001,444.653033868968,424.097745216886,405.284305927375
54001,444.653033868968,424.097745216886,405.284305927375
55001,444.653033868968,424.097745216886,405.284305927375
56001,444.653033868968,424.097745216886,405.284305927375
57001,444.653033868968,424.097745216886,405.284305927375
58001,444.653033868968,424.097745216886,405.284305927375
59001,444.653033868968,424.097745216886,405.284305927375
60001,444.653033868968,424.097745216886,405.284305927375
61001,444.653033868968,424.097745216886,405.284305927375
62001,444.653033868968,424.097745216886,405.284305927375
63001,444.653033868968,424.097745216886,405.284305927375
64001,444.653033868968,424.097745216886,405.284305927375
65001,444.653033868968,424.097745216886,405.284305927375
66001,444.653033868968,424.097745216886,405.284305927375
67001,444.653033868968,424.097745216886,405.284305927375
68001,444.653033868968,424.097745216886,405.284305927375
69001,444.653033868968,424.097745216886,405.284305927375
70001,444.653033868968,424.097745216886,405.284305927375
71001,444.653033868968,424.097745216886,405.284305927375
72001,444.653033868968,424.097745216886,405.284305927375
73001,444.653033868968,424.097745216886,405.284305927375
74001,444.653033868968,424.097745216886,405.284305927375
75001,444.653033868968,424.097745216886,405.284305927375
76001,444.653033868968,424.097745216886,405.284305927375
77001,444.653033868968,424.097745216886,405.284305927375
78001,444.653033868968,424.097745216886,405.284305927375
79001,445.032210194665,424.097745216886,405.284305927375
80001,445.41227712124,424.097745216886,405.284305927375
81001,445.793231677407,424.097745216886,405.284305927375
82001,446.17507090989,424.097745216886,405.284305927375
83001,446.557791883277,424.097745216886,405.284305927375
84001,446.94139167987,424.097745216886,405.284305927375
85001,447.325867399535,424.097745216886,405.284305927375
86001,447.711216159561,424.097745216886,405.284305927375
87001,448.097435094511,424.097745216886,405.284305927375
88001,448.484521356083,424.097745216886,405.284305927375
89001,448.872472112968,424.097745216886,405.284305927375
90001,449.261284550706,424.097745216886,405.284305927375
91001,449.650955871555,424.097745216886,405.284305927375
92001,450.432864054363,424.097745216886,405.284305927375
93001,450.825095403181,424.097745216886,405.284305927375
94001,451.218174608561,424.097745216886,405.284305927375
95001,451.612098954306,424.097745216886,405.284305927375
96001,452.006865740133,424.097745216886,405.284305927375
97001,452.402472281542,424.097745216886,405.284305927375
98001,453.196193971281,424.097745216886,405.284305927375
99001,453.5943038284,424.097745216886,405.284305927375
100001,453.993242858433,424.097745216886,405.284305927375
101001,454.393008453925,424.097745216886,405.284305927375
102001,455.19500898654,424.097745216886,405.284305927375
103001,455.597238783475,424.097745216886,405.284305927375
104001,456.000284865255,424.097745216886,405.284305927375
105001,456.404144698441,424.097745216886,405.284305927375
106001,457.21429555742,424.097745216886,405.284305927375
107001,457.620581588146,424.097745216886,405.284305927375
108001,458.435562470438,424.097745216886,405.284305927375
109001,458.844252411296,424.097745216886,405.284305927375
110001,459.253738767876,424.097745216886,405.284305927375
111001,460.075091058018,424.097745216886,405.284305927375
112001,460.486952190315,424.097745216886,405.284305927375
113001,461.31303252659,424.097745216886,405.284305927375
114001,461.72724700918,424.097745216886,405.284305927375
115001,462.558012897875,424.097745216886,405.284305927375
116001,462.974559660639,424.097745216886,405.284305927375
117001,463.80996931049,424.097745216886,405.284305927375
118001,464.228827630502,424.097745216886,405.284305927375
119001,465.068839936691,424.097745216886,405.284305927375
120001,465.91189817637,424.097745216886,405.284305927375
121001,466.334563958957,424.097745216886,405.284305927375
122001,467.18215783039,424.097745216886,405.284305927375
123001,468.032753556458,424.097745216886,405.284305927375
124001,,424.097745216886,405.284305927375
125001,,424.097745216886,405.284305927375
126001,,424.097745216886,405.284305927375
127001,,424.097745216886,405.284305927375
128001,,424.753293097796,405.284305927375
129001,,424.753293097796,405.284305927375
130001,,424.753293097796,405.284305927375
131001,,425.412310423589,405.284305927375
132001,,425.412310423589,405.284305927375
133001,,425.412310423589,405.284305927375
134001,,426.074774707608,405.284305927375
135001,,426.074774707608,405.284305927375
136001,,426.074774707608,405.284305927375
137001,,426.740663722688,405.284305927375
138001,,426.740663722688,405.284305927375
139001,,426.740663722688,405.284305927375
140001,,427.409955497046,405.284305927375
141001,,427.409955497046,405.284305927375
142001,,427.409955497046,405.284305927375
143001,,428.082628310259,405.284305927375
144001,,428.082628310259,405.284305927375
145001,,428.082628310259,405.284305927375
146001,,428.758660689315,405.284305927375
147001,,428.758660689315,405.284305927375
148001,,428.758660689315,405.284305927375
149001,,429.438031404749,405.284305927375
150001,,429.438031404749,405.284305927375
151001,,430.120719466852,405.284305927375
152001,,430.120719466852,405.284305927375
153001,,430.120719466852,405.284305927375
154001,,430.806704121952,405.284305927375
155001,,430.806704121952,405.284305927375
156001,,430.806704121952,405.284305927375
157001,,431.495964848776,405.284305927375
158001,,431.495964848776,405.284305927375
159001,,431.495964848776,405.284305927375
160001,,432.188481354872,405.284305927375
161001,,432.188481354872,405.284305927375
162001,,432.884233573113,405.284305927375
163001,,432.884233573113,405.284305927375
164001,,432.884233573113,405.284305927375
165001,,433.583201658256,405.284305927375
166001,,433.583201658256,405.284305927375
167001,,434.285365983577,405.284305927375
168001,,434.285365983577,405.284305927375
169001,,434.285365983577,405.284305927375
170001,,434.990707137565,405.284305927375
171001,,434.990707137565,405.284305927375
172001,,435.699205920682,405.284305927375
173001,,435.699205920682,405.284305927375
174001,,436.410843342183,405.284305927375
175001,,436.410843342183,405.284305927375
176001,,436.410843342183,405.284305927375
177001,,437.125600616998,405.284305927375
178001,,437.125600616998,405.284305927375
179001,,437.84345916267,405.284305927375
180001,,437.84345916267,405.284305927375
181001,,438.564400596353,405.284305927375
182001,,438.564400596353,405.284305927375
183001,,439.288406731866,405.284305927375
184001,,439.288406731866,405.284305927375
185001,,439.288406731866,405.284305927375
186001,,440.015459576801,405.284305927375
187001,,440.015459576801,405.284305927375
188001,,440.745541329684,405.284305927375
189001,,440.745541329684,405.284305927375
190001,,441.478634377191,405.284305927375
191001,,441.478634377191,405.284305927375
192001,,442.214721291413,405.284305927375
