Cycle,Config 1,Config 2,Config 3
1,5.93472895664948e-06,1.86982058110788e-06,6.3640516348259e-07
1001,0.00594066368560606,0.00187169040168899,0.000637041568646071
2001,0.0118753926422554,0.00374151098279667,0.00127344673212868
3001,0.0178101215989054,0.00561133156390473,0.00190985189561134
4001,0.0237448505555565,0.00748115214501283,0.00254625705909401
5001,0.0296795795122076,0.00935097272612093,0.00318266222257667
6001,0.0356143084688587,0.011220793307229,0.00381906738605934
7001,0.0415490374255098,0.0130906138883371,0.004455472549542
8001,0.0474837663821609,0.0149604344694452,0.00509187771302466
9001,0.053418495338812,0.0168302550505533,0.00572828287650733
10001,0.0593532242954631,0.0187000756316614,0.00636468803998999
11001,0.0652879532521109,0.0205698962127695,0.00700109320347266
12001,0.071222682208755,0.0224397167938776,0.00763749836695532
13001,0.0771574111653992,0.0243095373749857,0.00827390353043799
14001,0.0830921401220433,0.0261793579560938,0.00891030869392065
15001,0.0890268690786875,0.0280491785372019,0.00954671385740332
16001,0.0949615980353316,0.02991899911831,0.010183119020886
17001,0.100896326991976,0.0317888196994171,0.0108195241843686
18001,0.10683105594862,0.0336586402805218,0.0114559293478513
19001,0.112765784905264,0.0355284608616264,0.012092334511334
20001,0.118700513861908,0.037398281442731,0.0127287396748166
21001,0.124635242818552,0.0392681020238357,0.0133651448382993
22001,0.13056997177521,0.0411379226049403,0.014001550001782
23001,0.136504700731868,0.0430077431860449,0.0146379551652646
24001,0.142439429688526,0.0448775637671495,0.0152743603287473
25001,0.148374158645184,0.0467473843482542,0.0159107654922292
26001,0.154308887601842,0.0486172049293588,0.0165471706557101
27001,0.1602436165585,0.0504870255104634,0.017183575819191
28001,0.166178345515158,0.0523568460915681,0.017819980982672
29001,0.172113074471816,0.0542266666726727,0.0184563861461529
30001,0.178047803428474,0.0560964872537773,0.0190927913096338
31001,0.183982532385132,0.057966307834882,0.0197291964731148
32001,0.18991726134179,0.0598361284159866,0.0203656016365957
33001,0.195851990298448,0.0617059489970912,0.0210020068000766
34001,0.201786719255106,0.0635757695781959,0.0216384119635575
35001,0.207721448211764,0.0654455901593005,0.0222748171270385
36001,0.213656177168422,0.0673154107404051,0.0229112222905194
37001,0.21959090612508,0.0691852313215097,0.0235476274540003
38001,0.225525635081738,0.0710550519026144,0.0241840326174813
39001,0.231460364038396,0.072924872483719,0.0248204377809622
40001,0.237395092995054,0.0747946930648236,0.0254568429444431
41001,0.243329821951712,0.0766645136459283,0.0260932481079241
42001,0.24926455090837,0.0785343342270329,0.026729653271405
43001,0.255199279865028,0.0804041548081375,0.0273660584348859
44001,0.261134008821686,0.0822739753892422,0.0280024635983668
45001,0.267068737778344,0.0841437959703468,0.0286388687618478
46001,0.273003466735002,0.0860136165514514,0.0292752739253287
