Cycle,Config 1,Config 2,Config 3
1,444.653033868968,444.251668454516,440.607919745253
1001,444.653033868968,444.251668454516,440.607919745253
2001,444.653033868968,444.251668454516,440.607919745253
3001,444.653033868968,444.251668454516,440.607919745253
4001,444.653033868968,444.251668454516,440.607919745253
5001,444.653033868968,444.251668454516,440.607919745253
6001,444.653033868968,444.251668454516,440.607919745253
7001,444.653033868968,444.251668454516,440.607919745253
8001,444.653033868968,444.251668454516,440.607919745253
9001,444.653033868968,444.251668454516,440.607919745253
10001,444.653033868968,444.251668454516,440.607919745253
11001,444.653033868968,444.251668454516,440.607919745253
12001,444.653033868968,444.251668454516,440.607919745253
13001,444.653033868968,444.251668454516,440.607919745253
14001,444.653033868968,444.251668454516,440.607919745253
15001,444.653033868968,444.251668454516,440.607919745253
16001,444.653033868968,444.251668454516,440.607919745253
17001,444.653033868968,444.251668454516,440.607919745253
18001,444.653033868968,444.251668454516,440.607919745253
19001,444.653033868968,444.251668454516,440.607919745253
20001,444.653033868968,444.251668454516,440.607919745253
21001,444.653033868968,444.251668454516,440.607919745253
22001,444.653033868968,444.251668454516,440.607919745253
23001,444.653033868968,444.251668454516,440.607919745253
24001,444.653033868968,444.251668454516,440.607919745253
25001,444.653033868968,444.251668454516,440.607919745253
26001,444.653033868968,444.251668454516,440.607919745253
27001,444.653033868968,444.251668454516,440.607919745253
28001,444.653033868968,444.251668454516,440.607919745253
29001,444.653033868968,444.251668454516,440.607919745253
30001,444.653033868968,444.251668454516,440.607919745253
31001,444.653033868968,444.251668454516,440.607919745253
32001,444.653033868968,444.251668454516,440.607919745253
33001,444.653033868968,444.251668454516,440.607919745253
34001,444.653033868968,444.251668454516,440.607919745253
35001,444.653033868968,444.251668454516,440.607919745253
36001,444.653033868968,444.251668454516,440.607919745253
37001,444.653033868968,444.251668454516,440.607919745253
38001,444.653033868968,444.251668454516,440.607919745253
39001,444.653033868968,444.251668454516,440.607919745253
40001,444.653033868968,444.251668454516,440.607919745253
41001,444.653033868968,444.251668454516,440.607919745253
42001,444.653033868968,444.251668454516,440.607919745253
43001,444.653033868968,444.251668454516,440.607919745253
44001,444.653033868968,444.251668454516,440.607919745253
45001,444.653033868968,444.251668454516,440.607919745253
46001,444.653033868968,444.251668454516,440.607919745253
47001,444.653033868968,444.251668454516,440.607919745253
48001,444.653033868968,444.251668454516,440.607919745253
49001,444.653033868968,444.251668454516,440.607919745253
50001,444.653033868968,444.251668454516,440.607919745253
51001,444.653033868968,444.251668454516,440.607919745253
52001,444.653033868968,444.251668454516,440.607919745253
53001,444.653033868968,444.251668454516,440.607919745253
54001,444.653033868968,444.251668454516,440.607919745253
55001,444.653033868968,444.251668454516,440.607919745253
56001,444.653033868968,444.251668454516,440.607919745253
57001,444.653033868968,444.251668454516,440.607919745253
58001,444.653033868968,444.251668454516,440.607919745253
59001,444.653033868968,444.251668454516,440.607919745253
60001,444.653033868968,444.251668454516,440.607919745253
61001,444.653033868968,444.251668454516,440.607919745253
62001,444.653033868968,444.251668454516,440.607919745253
63001,444.653033868968,444.251668454516,440.607919745253
64001,444.653033868968,444.251668454516,440.607919745253
65001,444.653033868968,444.251668454516,440.607919745253
66001,444.653033868968,444.251668454516,440.607919745253
67001,444.653033868968,444.251668454516,440.607919745253
68001,444.653033868968,444.251668454516,440.607919745253
69001,444.653033868968,444.251668454516,440.607919745253
70001,444.653033868968,444.251668454516,440.607919745253
71001,444.653033868968,444.251668454516,440.607919745253
72001,444.653033868968,444.251668454516,440.607919745253
73001,444.653033868968,444.251668454516,440.607919745253
74001,444.653033868968,444.251668454516,440.607919745253
